pv,wind,hydro,geothermal,demand_el,demand_cooking,demand_heat,demand_transport,demand_aviation,biomass_usage,fuel_oil_usage
0.0,0.326,0.63,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.367,0.63,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.401,0.63,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.419,0.63,1,0.722222222,0.0,1,0.25,1,1,1
0.184,0.337,0.63,1,0.722222222,0.0,1,0.19,1,1,1
0.42,0.283,0.64,1,0.666666667,0.0,1,0.15,1,1,1
0.591,0.3,0.64,1,0.777777778,1.0,1,0.14,1,1,1
0.704,0.169,0.64,1,0.277777778,0.5,1,0.07,1,1,1
0.768,0.062,0.64,1,0.111111111,0.0,1,0.19,1,1,1
0.788,0.015,0.64,1,0.138888889,0.025,1,0.27,1,1,1
0.771,0.002,0.64,1,0.277777778,0.0,1,0.32,1,1,1
0.718,0.0,0.65,1,0.333333333,0.0,1,0.34,1,1,1
0.626,0.0,0.65,1,0.277777778,0.0,1,0.29,1,1,1
0.485,0.0,0.65,1,0.138888889,0.025,1,0.35,1,1,1
0.29,0.0,0.65,1,0.111111111,0.025,1,0.35,1,1,1
0.038,0.0,0.66,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.005,0.66,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.014,0.66,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.019,0.67,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.012,0.67,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.002,0.67,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.038,0.68,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.14,0.68,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.251,0.68,1,1.0,0.0,1,1.0,1,1,1
0.0,0.345,0.68,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.413,0.69,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.447,0.69,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.459,0.7,1,0.722222222,0.0,1,0.25,1,1,1
0.229,0.37,0.7,1,0.722222222,0.0,1,0.19,1,1,1
0.447,0.22,0.7,1,0.666666667,0.0,1,0.15,1,1,1
0.601,0.166,0.71,1,0.777777778,1.0,1,0.14,1,1,1
0.705,0.071,0.71,1,0.277777778,0.5,1,0.07,1,1,1
0.765,0.019,0.71,1,0.111111111,0.0,1,0.19,1,1,1
0.788,0.004,0.72,1,0.138888889,0.025,1,0.27,1,1,1
0.772,0.0,0.72,1,0.277777778,0.0,1,0.32,1,1,1
0.719,0.0,0.72,1,0.333333333,0.0,1,0.34,1,1,1
0.619,0.0,0.73,1,0.277777778,0.0,1,0.29,1,1,1
0.473,0.0,0.73,1,0.138888889,0.025,1,0.35,1,1,1
0.232,0.0,0.73,1,0.111111111,0.025,1,0.35,1,1,1
0.024,0.003,0.74,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.035,0.74,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.05,0.75,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.038,0.75,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.017,0.75,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.003,0.76,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.008,0.76,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.094,0.76,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.227,0.77,1,1.0,0.0,1,1.0,1,1,1
0.0,0.331,0.77,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.374,0.77,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.376,0.78,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.367,0.78,1,0.722222222,0.0,1,0.25,1,1,1
0.216,0.301,0.79,1,0.722222222,0.0,1,0.19,1,1,1
0.426,0.159,0.79,1,0.666666667,0.0,1,0.15,1,1,1
0.572,0.212,0.79,1,0.777777778,1.0,1,0.14,1,1,1
0.677,0.245,0.8,1,0.277777778,0.5,1,0.07,1,1,1
0.749,0.17,0.8,1,0.111111111,0.0,1,0.19,1,1,1
0.776,0.087,0.8,1,0.138888889,0.025,1,0.27,1,1,1
0.76,0.038,0.8,1,0.277777778,0.0,1,0.32,1,1,1
0.702,0.018,0.81,1,0.333333333,0.0,1,0.34,1,1,1
0.6,0.008,0.81,1,0.277777778,0.0,1,0.29,1,1,1
0.4,0.004,0.81,1,0.138888889,0.025,1,0.35,1,1,1
0.144,0.002,0.81,1,0.111111111,0.025,1,0.35,1,1,1
0.012,0.001,0.81,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.002,0.81,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.006,0.81,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.041,0.82,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.092,0.82,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.131,0.82,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.154,0.82,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.154,0.82,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.157,0.82,1,1.0,0.0,1,1.0,1,1,1
0.0,0.191,0.82,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.211,0.82,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.214,0.82,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.194,0.82,1,0.722222222,0.0,1,0.25,1,1,1
0.146,0.142,0.82,1,0.722222222,0.0,1,0.19,1,1,1
0.36,0.133,0.82,1,0.666666667,0.0,1,0.15,1,1,1
0.565,0.155,0.82,1,0.777777778,1.0,1,0.14,1,1,1
0.686,0.144,0.82,1,0.277777778,0.5,1,0.07,1,1,1
0.742,0.126,0.82,1,0.111111111,0.0,1,0.19,1,1,1
0.707,0.133,0.82,1,0.138888889,0.025,1,0.27,1,1,1
0.653,0.145,0.82,1,0.277777778,0.0,1,0.32,1,1,1
0.586,0.153,0.82,1,0.333333333,0.0,1,0.34,1,1,1
0.495,0.167,0.82,1,0.277777778,0.0,1,0.29,1,1,1
0.373,0.155,0.82,1,0.138888889,0.025,1,0.35,1,1,1
0.18,0.123,0.82,1,0.111111111,0.025,1,0.35,1,1,1
0.019,0.132,0.82,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.159,0.82,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.156,0.82,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.148,0.82,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.162,0.82,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.193,0.82,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.211,0.82,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.201,0.82,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.18,0.82,1,1.0,0.0,1,1.0,1,1,1
0.0,0.159,0.82,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.144,0.82,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.131,0.82,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.095,0.82,1,0.722222222,0.0,1,0.25,1,1,1
0.126,0.066,0.82,1,0.722222222,0.0,1,0.19,1,1,1
0.326,0.176,0.82,1,0.666666667,0.0,1,0.15,1,1,1
0.502,0.251,0.82,1,0.777777778,1.0,1,0.14,1,1,1
0.638,0.241,0.82,1,0.277777778,0.5,1,0.07,1,1,1
0.73,0.178,0.82,1,0.111111111,0.0,1,0.19,1,1,1
0.734,0.111,0.82,1,0.138888889,0.025,1,0.27,1,1,1
0.656,0.064,0.82,1,0.277777778,0.0,1,0.32,1,1,1
0.569,0.034,0.82,1,0.333333333,0.0,1,0.34,1,1,1
0.509,0.017,0.82,1,0.277777778,0.0,1,0.29,1,1,1
0.42,0.011,0.82,1,0.138888889,0.025,1,0.35,1,1,1
0.259,0.014,0.82,1,0.111111111,0.025,1,0.35,1,1,1
0.034,0.018,0.82,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.028,0.82,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.084,0.82,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.187,0.82,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.29,0.82,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.331,0.82,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.336,0.82,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.333,0.82,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.376,0.82,1,1.0,0.0,1,1.0,1,1,1
0.0,0.436,0.82,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.465,0.82,1,0.722222222,0.0,1,0.95,1,1,1
