,2021-01-01
"(('battery', 'electricity'), 'invest')",0.0
"(('electricity', 'battery'), 'invest')",0.0
"(('pp_fuel_oil', 'electricity'), 'invest')",0.0
"(('pp_nuclear', 'electricity'), 'invest')",0.0
"(('pp_peat', 'electricity'), 'invest')",0.0
"(('pv', 'electricity'), 'invest')",0.0
"(('wind', 'electricity'), 'invest')",0.0
"(('biogas heating', 'heat_bus'), 'invest')",0.0
"(('industrial boiler', 'heat_bus'), 'invest')",0.0
"(('wood boiler', 'heat_bus'), 'invest')",1178.14
"(('combustion engine transport vehicles', 'transport_bus'), 'invest')",1187.11
"(('kerosene aviation', 'aviation_bus'), 'invest')",45.81
storage_invest_GWh,-0.0
wind_invest_MW,0.0
unsustainable_biomass_MWh,0.0
total_woody_biomass_MWh,366388.5921999999
effective_end_use_stove_improved,"variable_name
flow    24016.412
dtype: float64"
effective_end_use_stove_unimproved,"variable_name
flow    27833.627
dtype: float64"
non_renewable_biomass_cooking,"variable_name
flow    0.0
dtype: float64"
biofuel_share,"variable_name
flow    0.0
dtype: float64"
RE_share_electricity production,"variable_name
flow    0.890937
dtype: float64"
RE_share_effective_end_use_energy,"variable_name
flow    0.849935
dtype: float64"
